x-axis,1,2,3,4
-156.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-155.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-155.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-155.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-155.0000E-03,-146.6030E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-154.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-154.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-154.2500E-03,-186.8040E-03,-80.4020E-03,-241.2060E-03,+3.1964824E+00
-154.0000E-03,-247.1055E-03,-20.1005E-03,-160.8040E-03,+3.1964824E+00
-153.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-153.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-153.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-153.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-152.7500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-152.5000E-03,-186.8040E-03,-20.1005E-03,-160.8040E-03,+3.2165829E+00
-152.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-152.0000E-03,-186.8040E-03,-100.5025E-03,-160.8040E-03,+3.2768844E+00
-151.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-151.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-151.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-151.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-150.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.2768844E+00
-150.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-150.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-150.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-149.7500E-03,-267.2060E-03,-40.2010E-03,-160.8040E-03,+3.2366834E+00
-149.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-149.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-149.0000E-03,-267.2060E-03,-100.5025E-03,-241.2060E-03,+3.2165829E+00
-148.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-148.5000E-03,-206.9045E-03,-80.4020E-03,-221.1055E-03,+3.1964824E+00
-148.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-148.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-147.7500E-03,-186.8040E-03,-120.6030E-03,-160.8040E-03,+3.2768844E+00
-147.5000E-03,-206.9045E-03,-80.4020E-03,-100.5025E-03,+3.1964824E+00
-147.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-147.0000E-03,-267.2060E-03,-20.1005E-03,-160.8040E-03,+3.2768844E+00
-146.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-146.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
