second,CH1,CH2,CH3,CH4
-0.1991,-0.267206,-0.2671397,-4.2613065,-0.7691498
-0.19885,-0.267206,-0.241206,-4.1809045,-1.0310996
-0.1986,-0.267206,-0.160804,-4.1809045,-1.3060301
-0.19835,-0.267206,-0.080402,-4.1886675,-1.5394731
-0.1981,-0.2957128,-0.1089088,-4.1809045,-1.7080402
-0.19785,-0.347608,-0.160804,-4.2613065,-1.9673454
-0.1976,-0.3372004,-0.160804,-4.1109101,-2.2708542
-0.19735,-0.347608,-0.160804,-4.2509703,-2.4316583
-0.1971,-0.378688,-0.160804,-4.2302266,-2.6728643
-0.19685,-0.42801,-0.1322257,-4.1809045,-2.9373157
-0.1966,-0.42801,-0.0882365,-4.1809045,-3.2278438
-0.19635,-0.347608,-0.160804,-4.1005025,-3.3964824
-0.1961,-0.347608,-0.160804,-4.1809045,-3.7517435
-0.19585,-0.2932112,-0.080402,-4.2613065,-3.9592964
-0.1956,-0.267206,0,-4.2613065,-4.1201005
-0.19535,-0.3321257,0,-4.1809045,-4.4571909
-0.1951,-0.347608,-0.0441758,-4.2613065,-4.6829145
-0.19485,-0.347608,0,-4.1574724,-4.9241206
-0.1946,-0.347608,0,-4.1835928,-5.0822363
-0.19435,-0.3295525,0.0180555,-4.1005025,-5.4245881
-0.1941,-0.3892108,0.0387993,-4.1393017,-5.6477386
-0.19385,-0.347608,0.080402,-4.2017634,-5.8294016
-0.1936,-0.2673212,0.0802868,-4.1005025,-6.0497487
-0.19335,-0.347608,0,-4.2406779,-6.3115833
-0.1931,-0.267206,0,-4.1005025,-6.5711904
-0.19285,-0.2489202,0,-4.1809045,-6.9158849
-0.1926,-0.186804,0.0024579,-4.2588485,-7.0949748
-0.19235,-0.186804,0.1036037,-4.2613065,-7.3361808
-0.1921,-0.186804,0.160804,-4.1809045,-7.4969848
-0.19185,-0.186804,0.0961147,-4.2613065,-7.8675694
-0.1916,-0.106402,0.0854331,-4.1758734,-8.0597989
-0.19135,-0.1610292,0.1061768,-4.2355316,7.6989949
-0.1911,-0.1529206,0.1269206,-4.2274231,7.5381909
-0.19085,-0.1736644,0.080402,-4.1809045,7.1493204
-0.1906,-0.1140062,0.080402,-4.2537023,6.9753768
-0.19035,-0.106402,0,-4.1005025,6.7341708
-0.1901,-0.186804,0,-4.1809045,6.5733668
-0.18985,-0.106402,0,-4.1005025,6.2728917
-0.1896,-0.0361773,0,-4.1106798,6.0105527
-0.18935,-0.026,0.080402,-4.2303854,5.7075045
-0.1891,0.0027372,0.080402,-4.2613065,5.4764758
-0.18885,0.054402,0,-4.1809045,5.2869346
-0.1886,0.054402,0,-4.2613065,5.1261306
-0.18835,0.0209078,-0.0469078,-4.1809045,4.7241205
-0.1881,-0.026,-0.080402,-4.1809045,4.5633165
-0.18785,-0.106402,-0.0749817,-4.2613065,4.3221105
-0.1876,-0.106402,-0.080402,-4.165581,4.1613065
-0.18735,-0.106402,-0.160804,-4.2252392,3.8396984
-0.1871,-0.106402,-0.1372131,-4.1240934,3.5984924
-0.18685,-0.0288471,-0.160804,-4.1837516,3.4376884
-0.1866,-0.026,-0.0982986,-4.1809045,3.2589877
-0.18635,0.054402,-0.1221636,-4.1422641,2.9166359
-0.1861,0.054402,-0.160804,-4.1809045,2.7140703
-0.18585,0.054402,-0.2414801,-4.2613065,2.3120603
-0.1856,-0.026,-0.241206,-4.1809045,2.0708542
-0.18535,-0.026,-0.241206,-4.222118,1.9100502
-0.1851,-0.1248467,-0.160804,-4.1993492,1.7492462
-0.18485,-0.186804,-0.0827011,-4.1028016,1.4253391
-0.1846,-0.186804,-0.1034449,-4.2039473,1.1864321
-0.18435,-0.2234194,-0.160804,-4.1371178,0.9452261
-0.1841,-0.186804,-0.2253344,-4.1809045,0.8002937
-0.18385,-0.186804,-0.241206,-4.1005025,0.4628141
-0.1836,-0.186804,-0.266822,-4.1552885,0.221608
-0.18335,-0.186804,-0.2875658,-4.2272642,0.0144443
-0.1831,-0.2539076,-0.321608,-4.1138009,-0.1132985
-0.18285,-0.267206,-0.3290534,-4.1809045,-0.50201
-0.1826,-0.267206,-0.321608,-4.2894956,-0.6910032
-0.18235,-0.267206,-0.1922732,-4.1809045,-1.0648241
-0.1821,-0.2564807,-0.1500787,-4.1809045,-1.2363535
-0.18185,-0.1968224,-0.080402,-4.2613065,-1.4568157
-0.1816,-0.347608,-0.080402,-4.1809045,-1.6276382
