second,CH1,CH2,CH3,CH4
-0.156,-0.186804,-0.080402,-0.160804,3.2165829
-0.15575,-0.186804,-0.080402,-0.160804,3.2366834
-0.1555,-0.186804,-0.080402,-0.160804,3.2768844
-0.15525,-0.186804,-0.080402,-0.160804,3.2768844
-0.155,-0.146603,-0.080402,-0.160804,3.2768844
-0.15475,-0.227005,-0.080402,-0.201005,3.2366834
-0.1545,-0.186804,-0.080402,-0.160804,3.2567839
-0.15425,-0.186804,-0.080402,-0.241206,3.1964824
-0.154,-0.2471055,-0.0201005,-0.160804,3.1964824
-0.15375,-0.186804,-0.080402,-0.160804,3.2366834
-0.1535,-0.186804,-0.080402,-0.160804,3.2768844
-0.15325,-0.267206,-0.080402,-0.160804,3.2768844
-0.153,-0.2471055,-0.080402,-0.160804,3.2567839
-0.15275,-0.267206,-0.080402,-0.160804,3.1964824
-0.1525,-0.186804,-0.0201005,-0.160804,3.2165829
-0.15225,-0.186804,-0.080402,-0.160804,3.1964824
-0.152,-0.186804,-0.1005025,-0.160804,3.2768844
-0.15175,-0.227005,-0.080402,-0.160804,3.2768844
-0.1515,-0.186804,-0.080402,-0.160804,3.2768844
-0.15125,-0.186804,-0.080402,-0.160804,3.1964824
-0.151,-0.186804,-0.080402,-0.160804,3.2567839
-0.15075,-0.227005,-0.080402,-0.201005,3.2768844
-0.1505,-0.186804,-0.080402,-0.160804,3.2567839
-0.15025,-0.267206,-0.080402,-0.160804,3.1964824
-0.15,-0.186804,-0.080402,-0.160804,3.1964824
-0.14975,-0.267206,-0.040201,-0.160804,3.2366834
-0.1495,-0.186804,-0.080402,-0.160804,3.2567839
-0.14925,-0.186804,-0.080402,-0.160804,3.1964824
-0.149,-0.267206,-0.1005025,-0.241206,3.2165829
-0.14875,-0.186804,-0.080402,-0.160804,3.2366834
-0.1485,-0.2069045,-0.080402,-0.2211055,3.1964824
-0.14825,-0.186804,-0.080402,-0.160804,3.1964824
-0.148,-0.186804,-0.080402,-0.160804,3.2165829
-0.14775,-0.186804,-0.120603,-0.160804,3.2768844
-0.1475,-0.2069045,-0.080402,-0.1005025,3.1964824
-0.14725,-0.186804,-0.080402,-0.160804,3.1964824
-0.147,-0.267206,-0.0201005,-0.160804,3.2768844
-0.14675,-0.186804,-0.080402,-0.160804,3.2366834
-0.1465,-0.2471055,-0.080402,-0.160804,3.2768844
-0.14625,-0.186804,-0.080402,-0.080402,3.2768844
-0.146,-0.186804,-0.080402,-0.160804,3.2165829
-0.14575,-0.186804,-0.080402,-0.201005,3.2366834
-0.1455,-0.186804,-0.080402,-0.2211055,3.2165829
-0.14525,-0.186804,-0.080402,-0.160804,3.1964824
-0.145,-0.186804,-0.080402,-0.160804,3.1964824
-0.14475,-0.227005,-0.080402,-0.160804,3.2768844
-0.1445,-0.186804,-0.080402,-0.160804,3.2567839
-0.14425,-0.186804,-0.080402,-0.160804,3.2768844
-0.144,-0.186804,-0.080402,-0.160804,3.2165829
-0.14375,-0.186804,-0.080402,-0.160804,3.2366834
-0.1435,-0.2471055,-0.080402,-0.160804,3.1964824
-0.14325,-0.186804,-0.080402,-0.160804,3.2768844
-0.143,-0.2069045,-0.0201005,-0.160804,3.2165829
-0.14275,-0.227005,-0.080402,-0.201005,3.2366834
-0.1425,-0.2069045,-0.1407035,-0.160804,3.2768844
-0.14225,-0.186804,-0.080402,-0.160804,3.2768844
-0.142,-0.186804,-0.080402,-0.2211055,3.1964824
-0.14175,-0.186804,-0.080402,-0.160804,3.1964824
-0.1415,-0.186804,-0.080402,-0.160804,3.1964824
-0.14125,-0.267206,-0.080402,-0.160804,3.2768844
-0.141,-0.186804,-0.0201005,-0.2211055,3.2165829
-0.14075,-0.227005,-0.080402,-0.160804,3.2768844
-0.1405,-0.186804,-0.0603015,-0.1809045,3.2165829
-0.14025,-0.186804,-0.080402,-0.160804,3.2768844
-0.14,-0.2069045,-0.080402,-0.160804,3.2165829
-0.13975,-0.186804,-0.080402,-0.160804,3.2366834
-0.1395,-0.2471055,-0.080402,-0.160804,3.2567839
-0.13925,-0.186804,-0.080402,-0.160804,3.1964824
-0.139,-0.2471055,-0.080402,-0.160804,3.2567839
-0.13875,-0.186804,-0.080402,-0.160804,3.2366834
-0.1385,-0.186804,-0.080402,-0.160804,3.2768844
-0.13825,-0.186804,-0.080402,-0.160804,3.2768844
-0.138,-0.2471055,-0.080402,-0.160804,3.1964824
-0.13775,-0.227005,-0.080402,-0.201005,3.2768844
-0.1375,-0.186804,-0.080402,-0.241206,3.2768844
-0.13725,-0.186804,-0.080402,-0.160804,3.1964824
-0.137,-0.186804,-0.080402,-0.160804,3.1964824
-0.13675,-0.186804,-0.080402,-0.160804,3.1964824
-0.1365,-0.2069045,-0.0603015,-0.160804,3.2567839
-0.13625,-0.267206,-0.080402,-0.241206,3.2768844
-0.136,-0.186804,-0.080402,-0.1809045,3.2768844
-0.13575,-0.267206,-0.080402,-0.160804,3.2768844
-0.1355,-0.2069045,-0.080402,-0.1809045,3.2567839
-0.13525,-0.186804,-0.080402,-0.160804,3.2768844
-0.135,-0.2069045,-0.080402,-0.1005025,3.2768844
-0.13475,-0.227005,-0.080402,-0.160804,3.2768844
-0.1345,-0.186804,-0.080402,-0.160804,3.2567839
-0.13425,-0.267206,-0.080402,-0.160804,3.1964824
-0.134,-0.267206,-0.080402,-0.160804,3.1964824
-0.13375,-0.186804,-0.080402,-0.201005,3.2366834
-0.1335,-0.2471055,-0.080402,-0.1809045,3.2165829
-0.13325,-0.186804,-0.080402,-0.160804,3.2768844
-0.133,-0.186804,-0.080402,-0.160804,3.2165829
-0.13275,-0.227005,-0.080402,-0.160804,3.1964824
-0.1325,-0.186804,-0.0603015,-0.160804,3.2165829
-0.13225,-0.186804,-0.080402,-0.160804,3.2768844
-0.132,-0.186804,-0.080402,-0.160804,3.2165829
-0.13175,-0.186804,-0.080402,-0.160804,3.2768844
-0.1315,-0.267206,-0.080402,-0.1809045,3.2165829
-0.13125,-0.186804,-0.080402,-0.241206,3.2768844
-0.131,-0.186804,-0.080402,-0.160804,3.2768844
-0.13075,-0.186804,-0.080402,-0.160804,3.1964824
-0.1305,-0.186804,-0.080402,-0.160804,3.2165829
-0.13025,-0.186804,-0.080402,-0.160804,3.2768844
-0.13,-0.186804,-0.080402,-0.160804,3.2165829
-0.12975,-0.186804,-0.080402,-0.160804,3.1964824
-0.1295,-0.2471055,-0.080402,-0.160804,3.2165829
-0.12925,-0.186804,-0.080402,-0.160804,3.1964824
-0.129,-0.186804,-0.080402,-0.160804,3.2567839
-0.12875,-0.227005,-0.080402,-0.160804,3.2768844
-0.1285,-0.186804,-0.0603015,-0.1809045,3.2567839
-0.12825,-0.186804,-0.080402,-0.160804,3.1964824
-0.128,-0.186804,-0.080402,-0.160804,3.1964824
-0.12775,-0.186804,-0.080402,-0.160804,3.2366834
-0.1275,-0.2069045,-0.080402,-0.160804,3.2567839
-0.12725,-0.267206,-0.080402,-0.160804,3.2768844
-0.127,-0.186804,-0.080402,-0.160804,3.2165829
-0.12675,-0.227005,-0.040201,-0.160804,3.2768844
-0.1265,-0.186804,-0.080402,-0.160804,3.2567839
-0.12625,-0.186804,-0.080402,-0.160804,3.1964824
-0.126,-0.2069045,-0.080402,-0.160804,3.1964824
-0.12575,-0.227005,-0.080402,-0.160804,3.2768844
-0.1255,-0.186804,-0.080402,-0.160804,3.1964824
-0.12525,-0.186804,-0.080402,-0.160804,3.1964824
-0.125,-0.2471055,-0.080402,-0.160804,3.2165829
-0.12475,-0.227005,-0.080402,-0.160804,3.2366834
-0.1245,-0.186804,-0.080402,-0.160804,3.1964824
-0.12425,-0.186804,-0.080402,-0.160804,3.1964824
-0.124,-0.186804,-0.080402,-0.160804,3.1964824
-0.12375,-0.227005,-0.080402,-0.201005,3.2768844
-0.1235,-0.186804,-0.080402,-0.160804,3.1964824
-0.12325,-0.267206,-0.080402,-0.160804,3.1964824
-0.123,-0.267206,-0.080402,-0.1809045,3.1964824
-0.12275,-0.186804,-0.080402,-0.160804,3.2768844
-0.1225,-0.186804,-0.080402,-0.160804,3.1964824
-0.12225,-0.267206,-0.080402,-0.160804,3.1964824
-0.122,-0.2069045,-0.080402,-0.1005025,3.2165829
-0.12175,-0.186804,-0.080402,-0.160804,3.2768844
-0.1215,-0.2069045,-0.080402,-0.160804,3.1964824
-0.12125,-0.186804,0,-0.160804,3.1964824
-0.121,-0.267206,-0.080402,-0.160804,3.2567839
-0.12075,-0.186804,-0.080402,-0.160804,3.1964824
-0.1205,-0.2069045,-0.0201005,-0.160804,3.2165829
-0.12025,-0.267206,-0.080402,-0.160804,3.1964824
-0.12,-0.186804,-0.080402,-0.160804,3.1964824
-0.11975,-0.186804,-0.080402,-0.160804,3.2768844
-0.1195,-0.2069045,-0.080402,-0.160804,3.2768844
-0.11925,-0.186804,-0.080402,-0.160804,3.1964824
