x-axis,1,2,3,4
-117.0000E-03,-186.8040E-03,-225.6482E-03,-160.8040E-03,+623.6181E-03
-116.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+579.5177E-03
-116.5000E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+623.6181E-03
-116.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-116.0000E-03,-186.8040E-03,-241.2060E-03,-223.0751E-03,+623.6181E-03
-115.7500E-03,-186.8040E-03,-199.6788E-03,-160.8040E-03,+623.6181E-03
-115.5000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-115.2500E-03,-186.8040E-03,-241.2060E-03,-241.1663E-03,+623.6181E-03
-115.0000E-03,-166.1000E-03,-220.5020E-03,-160.8040E-03,+623.6181E-03
-114.7500E-03,-186.8040E-03,-202.2519E-03,-199.7582E-03,+582.1702E-03
-114.5000E-03,-186.8040E-03,-222.9956E-03,-160.8040E-03,+623.6181E-03
-114.2500E-03,-186.8040E-03,-163.3374E-03,-160.8040E-03,+623.6181E-03
-114.0000E-03,-163.5268E-03,-217.9288E-03,-160.8040E-03,+600.3409E-03
-113.7500E-03,-142.7831E-03,-197.1851E-03,-160.8040E-03,+623.6181E-03
-113.5000E-03,-122.0393E-03,-176.4413E-03,-176.4413E-03,+623.6181E-03
-113.2500E-03,-186.8040E-03,-236.0995E-03,-165.9105E-03,+543.2161E-03
-113.0000E-03,-186.8040E-03,-186.6543E-03,-160.8040E-03,+623.6181E-03
-112.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-112.5000E-03,-186.8040E-03,-173.8682E-03,-160.8040E-03,+623.6181E-03
-112.2500E-03,-186.8040E-03,-168.4836E-03,-233.5264E-03,+623.6181E-03
-112.0000E-03,-186.8040E-03,-241.2060E-03,-189.2274E-03,+571.6395E-03
-111.7500E-03,-137.6368E-03,-241.2060E-03,-241.2060E-03,+623.6181E-03
