x-axis,1,2,3,4
-49.600E-03,-186.804E-03,-241.206E-03,-160.804E-03,-6.859970E+00
-49.500E-03,-211.578E-03,-241.206E-03,-185.578E-03,-6.853769E+00
-49.400E-03,-223.859E-03,-278.261E-03,-204.151E-03,-6.853769E+00
-49.300E-03,-186.804E-03,-241.206E-03,-160.804E-03,-6.915688E+00
-49.200E-03,-186.804E-03,-241.206E-03,-160.804E-03,-6.853769E+00
-49.100E-03,-248.543E-03,-241.206E-03,-160.804E-03,-6.872432E+00
-49.000E-03,-186.804E-03,-241.206E-03,-198.040E-03,-6.853769E+00
-48.900E-03,-235.990E-03,-241.206E-03,-160.804E-03,-6.909578E+00
-48.800E-03,-186.804E-03,-321.608E-03,-160.804E-03,-6.853769E+00
-48.700E-03,-186.804E-03,-241.206E-03,-160.804E-03,-6.934171E+00
-48.600E-03,-236.080E-03,-241.206E-03,-160.804E-03,-6.853769E+00
-48.500E-03,-217.508E-03,-290.905E-03,-160.804E-03,-6.853769E+00
-48.400E-03,-255.075E-03,-321.608E-03,-160.804E-03,-6.922040E+00
-48.300E-03,-186.804E-03,-321.608E-03,-160.804E-03,-6.853769E+00
-48.200E-03,-186.804E-03,-241.206E-03,-185.819E-03,-6.878784E+00
-48.100E-03,-186.804E-03,-278.020E-03,-160.804E-03,-6.853769E+00
-48.000E-03,-248.965E-03,-303.367E-03,-160.804E-03,-6.872010E+00
-47.900E-03,-186.804E-03,-241.206E-03,-160.804E-03,-6.853769E+00
-47.800E-03,-186.804E-03,-260.111E-03,-160.804E-03,-7.094975E+00
-47.700E-03,-186.804E-03,-321.608E-03,-321.608E-03,-7.057497E+00
-47.600E-03,-242.854E-03,-265.558E-03,-321.608E-03,-7.038925E+00
-47.500E-03,-186.804E-03,-241.206E-03,-246.985E-03,-7.020352E+00
-47.400E-03,-254.412E-03,-241.206E-03,-321.608E-03,-7.014573E+00
-47.300E-03,-218.171E-03,-241.206E-03,-321.608E-03,-7.045940E+00
-47.200E-03,-236.744E-03,-191.266E-03,-321.608E-03,-7.064512E+00
-47.100E-03,-186.804E-03,-229.317E-03,-321.608E-03,-7.026462E+00
-47.000E-03,-260.523E-03,-160.804E-03,-247.889E-03,-7.088291E+00
-46.900E-03,-186.804E-03,-160.804E-03,-321.608E-03,-7.039829E+00
-46.800E-03,-186.804E-03,-116.975E-03,-241.206E-03,-7.058402E+00
-46.700E-03,-186.804E-03,-80.402E-03,-321.608E-03,-7.014573E+00
-46.600E-03,-186.804E-03,-160.231E-03,-321.035E-03,-7.094402E+00
-46.500E-03,-186.804E-03,-99.548E-03,-321.608E-03,-7.094975E+00
-46.400E-03,-186.804E-03,-118.121E-03,-278.925E-03,-7.052291E+00
-46.300E-03,-267.206E-03,-80.402E-03,-321.608E-03,-7.038683E+00
-46.200E-03,-192.342E-03,-80.402E-03,-241.206E-03,-7.020110E+00
-46.100E-03,-186.804E-03,-80.402E-03,-254.241E-03,-7.094975E+00
-46.000E-03,-186.804E-03,-80.402E-03,-272.814E-03,-7.063367E+00
-45.900E-03,-217.025E-03,-50.181E-03,-291.387E-03,-7.044794E+00
-45.800E-03,-186.804E-03,-11.648E-03,-241.206E-03,-7.026221E+00
-45.700E-03,-267.206E-03,-80.402E-03,-314.683E-03,-7.094975E+00
-45.600E-03,-241.709E-03,-25.497E-03,-296.111E-03,-7.094975E+00
-45.500E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.094975E+00
-45.400E-03,-186.804E-03,-62.643E-03,-258.965E-03,-7.014573E+00
-45.300E-03,-186.804E-03,-814E-06,-242.020E-03,-7.015387E+00
-45.200E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.075588E+00
-45.100E-03,-186.804E-03,-42.442E-03,-279.166E-03,-7.094975E+00
-45.000E-03,-210.673E-03,-23.869E-03,-321.608E-03,-7.094975E+00
-44.900E-03,-261.910E-03,-75.106E-03,-241.206E-03,-7.019869E+00
-44.800E-03,-200.080E-03,-80.402E-03,-241.206E-03,-7.081698E+00
-44.700E-03,-186.804E-03,-31.849E-03,-241.206E-03,-7.063126E+00
-44.600E-03,-267.206E-03,-29.980E-03,-241.206E-03,-7.064995E+00
-44.500E-03,-186.804E-03,+0.0E+00,-241.206E-03,-7.083568E+00
-44.400E-03,-186.804E-03,+0.0E+00,-241.206E-03,-7.021739E+00
-44.300E-03,-267.206E-03,+0.0E+00,-241.206E-03,-7.094975E+00
-44.200E-03,-186.804E-03,+0.0E+00,-241.206E-03,-7.014573E+00
-44.100E-03,-249.688E-03,+0.0E+00,-241.206E-03,-7.094975E+00
-44.000E-03,-266.151E-03,-80.402E-03,-241.206E-03,-7.015628E+00
-43.900E-03,-206.432E-03,-60.774E-03,-241.206E-03,-7.014573E+00
-43.800E-03,-225.005E-03,-38.201E-03,-241.206E-03,-7.094975E+00
-43.700E-03,-210.432E-03,-56.774E-03,-241.206E-03,-7.014573E+00
-43.600E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.089920E+00
-43.500E-03,-267.206E-03,-66.884E-03,-241.206E-03,-7.094975E+00
-43.400E-03,-267.206E-03,-48.312E-03,-192.894E-03,-7.014573E+00
-43.300E-03,-186.804E-03,-80.402E-03,-190.543E-03,-7.065236E+00
-43.200E-03,-197.970E-03,-80.402E-03,-230.040E-03,-7.083809E+00
-43.100E-03,-267.206E-03,-72.995E-03,-241.206E-03,-7.021980E+00
-43.000E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.068995E+00
-42.900E-03,-186.804E-03,-80.402E-03,-196.653E-03,-7.094975E+00
-42.800E-03,-186.804E-03,-80.402E-03,-223.930E-03,-7.094975E+00
-42.700E-03,-188.100E-03,-80.402E-03,-162.100E-03,-7.014573E+00
-42.600E-03,-206.673E-03,-80.402E-03,-241.206E-03,-7.094975E+00
-42.500E-03,-267.206E-03,-80.402E-03,-241.206E-03,-7.094975E+00
-42.400E-03,-186.804E-03,-80.402E-03,-184.191E-03,-7.094975E+00
-42.300E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.019387E+00
-42.200E-03,-200.563E-03,-13.759E-03,-174.563E-03,-7.094975E+00
-42.100E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.046904E+00
-42.000E-03,-186.804E-03,-80.402E-03,-211.709E-03,-7.094975E+00
-41.900E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.094975E+00
-41.800E-03,-267.206E-03,-80.402E-03,-241.206E-03,-7.022221E+00
-41.700E-03,-240.985E-03,-80.402E-03,-241.206E-03,-7.040794E+00
-41.600E-03,-186.804E-03,-80.402E-03,-196.412E-03,-7.059367E+00
-41.500E-03,-203.839E-03,-97.437E-03,-177.839E-03,-7.077940E+00
-41.400E-03,-186.804E-03,-80.402E-03,-239.668E-03,-7.016110E+00
-41.300E-03,-247.095E-03,-80.402E-03,-180.915E-03,-7.094975E+00
-41.200E-03,-228.523E-03,-80.402E-03,-241.206E-03,-7.014573E+00
-41.100E-03,-186.804E-03,-103.548E-03,-183.950E-03,-7.037719E+00
-41.000E-03,-191.377E-03,-156.231E-03,-241.206E-03,-7.019146E+00
-40.900E-03,-253.206E-03,-94.402E-03,-174.804E-03,-7.080975E+00
-40.800E-03,-234.633E-03,-128.231E-03,-241.206E-03,-7.047146E+00
