t,id,iq,omega,uzk
-250.0000E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+328.6683493E+00
-249.7500E-03,-246.4622E-03,+0.0E+00,+3.7788944E+00,+326.5939711E+00
-249.5000E-03,-228.2916E-03,+0.0E+00,+3.8592964E+00,+330.4854159E+00
-249.2500E-03,-186.8040E-03,+0.0E+00,+3.7607238E+00,+325.5567820E+00
-249.0000E-03,-264.6329E-03,-80.4020E-03,+3.8567233E+00,+324.6482487E+00
-248.7500E-03,-267.2060E-03,-57.0851E-03,+3.7788944E+00,+327.5025044E+00
-248.5000E-03,-267.2060E-03,+0.0E+00,+3.7348338E+00,+326.8512826E+00
-248.2500E-03,-202.4016E-03,+64.8045E-03,+3.8436989E+00,+327.8884717E+00
-248.0000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-247.7500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+323.3537480E+00
-247.5000E-03,-267.2060E-03,+80.4020E-03,+3.7788944E+00,+328.6683493E+00
-247.2500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+323.3458051E+00
-247.0000E-03,-186.8040E-03,+80.4020E-03,+3.7866138E+00,+324.6482487E+00
-246.7500E-03,-186.8040E-03,+28.4631E-03,+3.7788944E+00,+324.6482487E+00
-246.5000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+326.2080038E+00
-246.2500E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+328.6683493E+00
-246.0000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-245.7500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-245.5000E-03,-215.4260E-03,+80.4020E-03,+3.7502724E+00,+324.6482487E+00
-245.2500E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-245.0000E-03,-186.8040E-03,+160.8040E-03,+3.7113580E+00,+328.6683493E+00
-244.7500E-03,-186.8040E-03,+194.4134E-03,+3.7788944E+00,+324.6482487E+00
-244.5000E-03,-186.8040E-03,+186.8529E-03,+3.7245413E+00,+325.9506922E+00
-244.2500E-03,-111.7071E-03,+160.8040E-03,+3.7841995E+00,+324.6482487E+00
-244.0000E-03,-171.3653E-03,+95.8407E-03,+3.7943331E+00,+328.6683493E+00
-243.7500E-03,-142.5845E-03,+80.4020E-03,+3.7427120E+00,+324.6482487E+00
-243.5000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-243.2500E-03,-267.2060E-03,+80.4020E-03,+3.7761625E+00,+324.9214461E+00
-243.0000E-03,-249.1942E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-242.7500E-03,-228.4504E-03,+160.8040E-03,+3.8592964E+00,+324.6482487E+00
-242.5000E-03,-267.2060E-03,+160.8040E-03,+3.8592964E+00,+327.6232172E+00
-242.2500E-03,-267.0472E-03,+160.8040E-03,+3.7788944E+00,+324.6561916E+00
-242.0000E-03,-207.3889E-03,+160.8040E-03,+3.8592964E+00,+324.6482487E+00
-241.7500E-03,-228.1327E-03,+119.4753E-03,+3.7788944E+00,+326.6019140E+00
-241.5000E-03,-267.2060E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-241.2500E-03,-186.8040E-03,+2.4143E-03,+3.7813087E+00,+324.6482487E+00
-241.0000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+328.6683493E+00
-240.7500E-03,-186.8040E-03,-80.4020E-03,+3.8592964E+00,+326.8433397E+00
-240.5000E-03,-267.2060E-03,-80.4020E-03,+3.7788944E+00,+324.6482487E+00
-240.2500E-03,-267.2060E-03,-80.4020E-03,+3.7788944E+00,+328.6683493E+00
-240.0000E-03,-267.2060E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-239.7500E-03,-186.8040E-03,+33.9271E-03,+3.8592964E+00,+326.9719955E+00
-239.5000E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+321.9464775E+00
-239.2500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-239.0000E-03,-215.1083E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-238.7500E-03,-218.1580E-03,+80.4020E-03,+3.7788944E+00,+325.5329532E+00
-238.5000E-03,-197.4142E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-238.2500E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-238.0000E-03,-186.8040E-03,-30.8774E-03,+3.7788944E+00,+324.6482487E+00
-237.7500E-03,-186.8040E-03,-28.7808E-03,+3.7788944E+00,+324.6482487E+00
-237.5000E-03,-259.1690E-03,-72.3649E-03,+3.7788944E+00,+324.6482487E+00
-237.2500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+325.2835846E+00
-237.0000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+326.3207737E+00
-236.7500E-03,-186.8040E-03,+160.8040E-03,+3.8051022E+00,+324.6482487E+00
-236.5000E-03,-186.8040E-03,+85.8660E-03,+3.7788944E+00,+324.6482487E+00
-236.2500E-03,-186.8040E-03,+145.5242E-03,+3.7788944E+00,+327.9043576E+00
-236.0000E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-235.7500E-03,-130.0366E-03,+137.1694E-03,+3.7788944E+00,+325.8299794E+00
-235.5000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+328.6683493E+00
-235.2500E-03,-106.4020E-03,+0.0E+00,+3.7163454E+00,+327.7757018E+00
-235.0000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+326.7385127E+00
-234.7500E-03,-246.1445E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-234.5000E-03,-266.8883E-03,+80.0843E-03,+3.6988101E+00,+324.6482487E+00
-234.2500E-03,-186.8040E-03,+160.8040E-03,+3.8592964E+00,+325.6695519E+00
-234.0000E-03,-226.0362E-03,+160.8040E-03,+3.7396623E+00,+324.6482487E+00
-233.7500E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-233.5000E-03,-267.2060E-03,+241.2060E-03,+3.7788944E+00,+328.6683493E+00
-233.2500E-03,-209.8032E-03,+241.2060E-03,+3.9166993E+00,+325.7982077E+00
