second,CH1,CH2,CH3,CH4
-0.117,-0.186804,-0.2256482,-0.160804,0.6236181
-0.11675,-0.186804,-0.241206,-0.160804,0.5795177
-0.1165,-0.186804,-0.160804,-0.160804,0.6236181
-0.11625,-0.186804,-0.241206,-0.160804,0.6236181
-0.116,-0.186804,-0.241206,-0.2230751,0.6236181
-0.11575,-0.186804,-0.1996788,-0.160804,0.6236181
-0.1155,-0.186804,-0.241206,-0.160804,0.6236181
-0.11525,-0.186804,-0.241206,-0.2411663,0.6236181
-0.115,-0.1661,-0.220502,-0.160804,0.6236181
-0.11475,-0.186804,-0.2022519,-0.1997582,0.5821702
-0.1145,-0.186804,-0.2229956,-0.160804,0.6236181
-0.11425,-0.186804,-0.1633374,-0.160804,0.6236181
-0.114,-0.1635268,-0.2179288,-0.160804,0.6003409
-0.11375,-0.1427831,-0.1971851,-0.160804,0.6236181
-0.1135,-0.1220393,-0.1764413,-0.1764413,0.6236181
-0.11325,-0.186804,-0.2360995,-0.1659105,0.5432161
-0.113,-0.186804,-0.1866543,-0.160804,0.6236181
-0.11275,-0.186804,-0.241206,-0.160804,0.6236181
-0.1125,-0.186804,-0.1738682,-0.160804,0.6236181
-0.11225,-0.186804,-0.1684836,-0.2335264,0.6236181
-0.112,-0.186804,-0.241206,-0.1892274,0.5716395
-0.11175,-0.1376368,-0.241206,-0.241206,0.6236181
-0.1115,-0.116893,-0.230715,-0.1712951,0.6236181
-0.11125,-0.1166548,-0.241206,-0.1710568,0.6133653
-0.111,-0.186804,-0.1918005,-0.241206,0.6236181
-0.11075,-0.186804,-0.241206,-0.1894657,0.5718778
-0.1105,-0.186804,-0.241206,-0.1687219,0.6236181
-0.11025,-0.186804,-0.241206,-0.160804,0.6364439
-0.11,-0.106402,-0.2076364,-0.160804,0.6236181
-0.10975,-0.186804,-0.241206,-0.2151174,0.6236181
-0.1095,-0.186804,-0.160804,-0.160804,0.6236181
-0.10925,-0.186804,-0.241206,-0.160804,0.6236181
-0.109,-0.1506613,-0.241206,-0.160804,0.5793588
-0.10875,-0.1299175,-0.2176906,-0.160804,0.6236181
-0.1085,-0.186804,-0.160804,-0.160804,0.6236181
-0.10825,-0.1243741,-0.241206,-0.160804,0.6236181
-0.108,-0.1451179,-0.2024902,-0.160804,0.6236181
-0.10775,-0.1658617,-0.1817464,-0.160804,0.6236181
-0.1075,-0.1066006,-0.1610026,-0.160804,0.6236181
-0.10725,-0.186804,-0.2206608,-0.2206608,0.6236181
-0.107,-0.186804,-0.241206,-0.160804,0.6236181
-0.10675,-0.186804,-0.1791733,-0.160804,0.6236181
-0.1065,-0.186804,-0.241206,-0.2388315,0.6236181
-0.10625,-0.1295203,-0.160804,-0.160804,0.6236181
-0.106,-0.186804,-0.2046661,-0.160804,0.6236181
-0.10575,-0.186804,-0.1766001,-0.1766001,0.6236181
-0.1055,-0.1818564,-0.241206,-0.160804,0.6236181
-0.10525,-0.186804,-0.2155146,-0.160804,0.5979266
-0.105,-0.186804,-0.2072392,-0.160804,0.5771829
-0.10475,-0.186804,-0.227983,-0.160804,0.6103951
-0.1045,-0.186804,-0.160804,-0.0879228,0.6236181
-0.10425,-0.186804,-0.2129415,-0.160804,0.5953535
-0.104,-0.186804,-0.1921977,-0.160804,0.5746097
-0.10375,-0.186804,-0.241206,-0.1714539,0.6236181
-0.1035,-0.186804,-0.241206,-0.160804,0.6236181
-0.10325,-0.1372397,-0.1916417,-0.2103684,0.6236181
-0.103,-0.1352226,-0.2123855,-0.160804,0.6236181
-0.10275,-0.186804,-0.2331292,-0.241206,0.6236181
-0.1025,-0.186804,-0.241206,-0.173471,0.6236181
-0.10225,-0.186804,-0.1942148,-0.1942148,0.5766269
-0.102,-0.186804,-0.241206,-0.160804,0.6236181
-0.10175,-0.186804,-0.1663077,-0.160804,0.6236181
-0.1015,-0.186804,-0.241206,-0.1760441,0.608378
-0.10125,-0.186804,-0.241206,-0.160804,0.5876342
-0.101,-0.1631297,-0.1844783,-0.160804,0.6236181
-0.10075,-0.186804,-0.241206,-0.160804,0.6206875
-0.1005,-0.106402,-0.241206,-0.160804,0.6236181
-0.10025,-0.186804,-0.241206,-0.160804,0.6236181
-0.1,-0.186804,-0.2201048,-0.160804,0.6236181
-0.09975,-0.1864466,-0.2408486,-0.160804,0.6236181
-0.0995,-0.186804,-0.241206,-0.2208197,0.6236181
-0.09925,-0.106402,-0.241206,-0.160804,0.6236181
-0.099,-0.186804,-0.241206,-0.2226779,0.6236181
-0.09875,-0.1086177,-0.241206,-0.2389903,0.6236181
-0.0985,-0.186804,-0.2182466,-0.160804,0.6236181
-0.09825,-0.186804,-0.241206,-0.1975028,0.6236181
-0.098,-0.186804,-0.241206,-0.160804,0.6236181
-0.09775,-0.186804,-0.2364172,-0.160804,0.6236181
-0.0975,-0.186804,-0.2156734,-0.160804,0.5687487
-0.09725,-0.1526784,-0.2070804,-0.160804,0.6236181
-0.097,-0.186804,-0.241206,-0.160804,0.5565979
-0.09675,-0.186804,-0.241206,-0.160804,0.6236181
-0.0965,-0.186804,-0.241206,-0.1889097,0.5713218
-0.09625,-0.186804,-0.241206,-0.160804,0.6236181
-0.096,-0.186804,-0.1716128,-0.1716128,0.6236181
-0.09575,-0.186804,-0.170739,-0.160804,0.6236181
-0.0955,-0.186804,-0.2105272,-0.1914828,0.6236181
-0.09525,-0.186804,-0.241206,-0.160804,0.6236181
-0.095,-0.106402,-0.2329704,-0.1690397,0.6153824
-0.09475,-0.186804,-0.1733122,-0.160804,0.6236181
-0.0945,-0.186804,-0.2079541,-0.160804,0.6236181
-0.09425,-0.186804,-0.241206,-0.160804,0.6236181
-0.094,-0.186804,-0.241206,-0.1664665,0.6236181
-0.09375,-0.1717228,-0.241206,-0.160804,0.5582973
-0.0935,-0.1422271,-0.241206,-0.205381,0.587793
-0.09325,-0.186804,-0.241206,-0.160804,0.5670493
-0.093,-0.186804,-0.2381166,-0.2381166,0.6236181
-0.09275,-0.186804,-0.241206,-0.160804,0.6236181
-0.0925,-0.186804,-0.1992022,-0.160804,0.6236181
-0.09225,-0.186804,-0.241206,-0.1820641,0.602358
-0.092,-0.186804,-0.241206,-0.160804,0.6236181
-0.09175,-0.186804,-0.241206,-0.160804,0.6236181
