second,CH1,CH2,CH3,CH4
-0.1991,-0.186804,-0.241206,3.7788944,7.7249286
-0.19885,-0.186804,-0.241206,3.7788944,-7.8185929
-0.1986,-0.1997848,-0.1737848,3.8463157,-7.6577889
-0.19835,-0.186804,-0.160804,3.9319354,-7.4969848
-0.1981,-0.186804,-0.1893108,3.8074012,-7.227272
-0.19785,-0.186804,-0.241206,3.8592964,-6.8537688
-0.1976,-0.186804,-0.1503964,3.7788944,-6.6929648
-0.19735,-0.106402,-0.0907382,3.7892306,-6.5321607
-0.1971,-0.1557241,-0.080402,3.8592964,-6.3402768
-0.19685,-0.1349803,-0.080402,3.8074727,-5.9693467
-0.1966,-0.186804,-0.080402,3.8592964,-5.7359752
-0.19635,-0.186804,-0.080402,3.7788944,-5.5673366
-0.1961,-0.153151,-0.127151,3.8125475,-5.4065326
-0.19585,-0.1607988,-0.080402,3.7788944,-5.0045226
-0.1956,-0.1116634,-0.1555426,3.7788944,-4.7685779
-0.19535,-0.106402,-0.080402,3.8592964,-4.6829145
-0.1951,-0.106402,-0.080402,3.7788944,-4.4417085
-0.19485,-0.106402,-0.160804,3.8358644,-4.0396985
-0.1946,-0.106402,-0.0026883,3.7788944,-3.9566082
-0.19435,-0.106402,-0.080402,3.7969499,-3.7180904
-0.1941,-0.106402,-0.0416027,3.8204972,-3.4768844
-0.19385,-0.106402,0,3.7788944,-3.1344174
-0.1936,-0.106402,0,3.8591813,-2.9141855
-0.19335,-0.106402,-0.0597734,3.7788944,-2.7532663
-0.1931,-0.106402,0,3.8592964,-2.5534327
-0.19285,-0.106402,0,3.6984924,-2.1904522
-0.1926,-0.106402,-0.0024579,3.7788944,-2.0296482
-0.19235,-0.0492017,0,3.8020962,-1.7884422
-0.1921,-0.0699455,0,3.8153509,-1.6276382
-0.19185,-0.186804,0.080402,3.7946072,-1.2413409
-0.1916,-0.186804,0.080402,3.9346674,-1.0648241
-0.19135,-0.1610292,0.080402,3.7788944,-0.6628141
-0.1911,-0.186804,0.0465186,3.7788944,-0.4554914
-0.19085,-0.186804,0,3.8592964,-0.2739436
-0.1906,-0.186804,0,3.7788944,-0.1
-0.19035,-0.186804,0,3.8592964,0.221608
-0.1901,-0.186804,0,3.7788944,0.4137223
-0.18985,-0.186804,-0.0698355,3.8487299,0.6236181
-0.1896,-0.186804,-0.0101773,3.8592964,0.7844221
-0.18935,-0.186804,0,3.7788944,1.1864321
-0.1891,-0.1351392,0,3.8592964,1.398901
-0.18885,-0.1947974,-0.080402,3.7788944,1.5884422
-0.1886,-0.267206,0,3.8592964,1.7492462
-0.18835,-0.267206,0,3.7788944,2.1177621
-0.1881,-0.267206,-0.080402,3.7788944,2.3120603
-0.18785,-0.1922243,-0.0749817,3.8538762,2.547846
-0.1876,-0.2518825,-0.0153235,3.7788944,2.7140703
-0.18735,-0.267206,0,3.8232291,3.1160804
-0.1871,-0.267206,0,3.7788944,3.2532935
-0.18685,-0.267206,0,3.8564493,3.4376884
-0.1866,-0.2851027,0,3.7788944,3.6163891
-0.18635,-0.347608,0,3.7371328,4.0005025
-0.1861,-0.267206,-0.160804,3.7999122,4.1613065
-0.18585,-0.267206,-0.080676,3.7786204,4.4022385
-0.1856,-0.3271383,-0.160804,3.8388267,4.5633165
-0.18535,-0.347608,-0.1195905,3.7788944,4.8849246
-0.1851,-0.2856507,-0.1423593,3.7169371,5.0641733
-0.18485,-0.345309,-0.1585049,3.8569974,5.4500377
-0.1846,-0.267206,-0.1034449,3.8592964,5.6889447
-0.18435,-0.267206,-0.160804,3.8592964,5.8497487
-0.1841,-0.267206,-0.1449324,3.8592964,6.0105527
-0.18385,-0.267206,-0.080402,3.7837666,6.4125627
-0.1836,-0.292822,-0.106018,3.7788944,6.5733668
-0.18335,-0.1527618,-0.160804,3.8592964,6.7341708
-0.1831,-0.1197005,-0.0937005,3.7788944,6.9753768
-0.18285,-0.186804,-0.1533587,3.8592964,7.2969848
-0.1826,-0.186804,-0.1085911,3.7788944,7.485978
-0.18235,-0.186804,-0.1118711,3.7788944,7.6989949
-0.1821,-0.186804,-0.1500787,3.8592964,-8.0597989
-0.18185,-0.186804,-0.1507856,3.7788944,-7.7381909
-0.1816,-0.186804,-0.160804,3.8096566,-7.4969848
-0.18135,-0.186804,-0.160804,3.7788944,-7.3361808
-0.1811,-0.186804,-0.160804,3.8592964,-7.1753768
-0.18085,-0.1189936,-0.160804,3.7663029,-6.7733668
-0.1806,-0.106402,-0.080402,3.7788944,-6.5792274
-0.18035,-0.106402,-0.080402,3.8592964,-6.3713567
-0.1801,-0.106402,-0.1552249,3.7788944,-6.2105527
-0.17985,-0.106402,-0.080402,3.8744611,-5.8085427
-0.1796,-0.106402,-0.1163105,3.6984924,-5.6118302
-0.17935,-0.0497498,-0.080402,3.7788944,-5.4065326
-0.1791,-0.106402,-0.083408,3.8562904,-5.2457286
-0.17885,-0.106402,-0.080402,3.7788944,-4.9063828
-0.1786,-0.0679205,-0.160804,3.817376,-4.6829145
-0.17835,-0.026,-0.160804,3.7788944,-4.5221105
-0.1781,-0.106402,-0.2407731,3.7788944,-4.3608736
-0.17785,-0.026,-0.160804,3.8796073,-3.8992053
-0.1776,-0.106402,-0.0393473,3.8592964,-3.7984924
-0.17735,-0.0877985,0,3.7788944,-3.3964824
-0.1771,-0.106402,0,3.9375582,-3.2356784
-0.17685,-0.16392,0,3.8017784,-3.0519903
-0.1766,-0.1431762,-0.080402,3.8592964,-2.8336683
-0.17635,-0.186804,-0.0643716,3.7788944,-2.3672867
-0.1761,-0.1820907,-0.0047133,3.7836078,-2.2708542
-0.17585,-0.1318591,0,3.8592964,-2.0551053
-0.1756,-0.1406031,-0.0462009,3.7788944,-1.8688442
-0.17535,-0.106402,-0.0134573,3.8592964,-1.4668342
-0.1751,-0.1136885,0,3.7788944,-1.3060301
-0.17485,-0.186804,0.0523718,3.8592964,-1.1452261
-0.1746,-0.13803,0,3.8592964,-0.9040201
-0.17435,-0.186804,0,3.7788944,-0.5824121
-0.1741,-0.1966636,0,3.8592964,-0.4117485
-0.17385,-0.186804,0,3.7788944,-0.260804
-0.1736,-0.2381512,0,3.8302416,-0.019598
-0.17335,-0.186804,0,3.7788944,0.3824121
-0.1731,-0.1188347,0,3.7913271,0.5556488
-0.17285,-0.186804,0.0331765,3.8592964,0.7512456
-0.1726,-0.186804,0.0539202,3.7788944,0.9991464
-0.17235,-0.186804,0.080402,3.8592964,1.2668342
-0.1721,-0.267206,0,3.6984924,1.5080402
-0.17185,-0.267206,0,3.8235469,1.6688442
-0.1716,-0.267206,0,3.7788944,1.9100502
-0.17135,-0.347608,0,3.7016573,2.2316583
-0.1711,-0.3300291,0,3.8592964,2.3924623
-0.17085,-0.3055287,0,3.7788944,2.752393
-0.1706,-0.267206,0,3.80023,2.9766119
-0.17035,-0.347608,0,3.8592964,3.1160804
-0.1701,-0.327456,0,3.8391444,3.3774384
-0.16985,-0.347608,0,3.7788944,3.7592964
-0.1696,-0.2859684,-0.0616396,3.8592964,3.9201005
-0.16935,-0.267206,-0.160804,3.7788944,4.0828858
-0.1691,-0.2899312,-0.160804,3.8592964,4.3448357
-0.16885,-0.267206,-0.080402,3.7788944,4.6437185
-0.1686,-0.267206,-0.0965913,3.9073199,4.8687353
-0.16835,-0.2626515,-0.080402,3.8592964,5.0457286
-0.1681,-0.2419078,-0.1057003,3.7788944,5.3122329
-0.16785,-0.267206,-0.114762,3.8592964,5.6085427
-0.1676,-0.267206,-0.080402,3.7788944,5.8361325
-0.16735,-0.267206,-0.080402,3.8521688,5.9372783
-0.1671,-0.267206,-0.160804,3.7788944,6.2270995
-0.16685,-0.3158212,-0.1121889,3.7788944,6.5415799
-0.1666,-0.186804,-0.160804,3.8592964,6.7231277
-0.16635,-0.2575053,-0.160804,3.7788944,6.9046755
-0.1661,-0.186804,-0.2107615,3.8592964,7.1166678
-0.16585,-0.186804,-0.160804,3.7496807,7.4577889
-0.1656,-0.186804,-0.160804,3.7704245,7.6185929
-0.16535,-0.1990778,-0.1730778,3.8592964,-8.1402009
-0.1651,-0.186804,-0.1938216,3.73151,-7.9133617
-0.16485,-0.186804,-0.160804,3.8592964,-7.5773869
-0.1646,-0.1122988,-0.2353092,3.7043893,-7.3420777
-0.16435,-0.186804,-0.321608,3.8444495,-7.1753768
-0.1641,-0.2316153,-0.241206,3.9041077,-6.8537688
-0.16385,-0.186804,-0.160804,3.8833639,-6.6125627
-0.1636,-0.106402,-0.0837257,3.8559727,-6.4517587
-0.16335,-0.106402,-0.080402,3.8592964,-6.1127306
-0.1631,-0.106402,-0.080402,3.7788944,-5.9271085
-0.16285,-0.106402,-0.080402,3.8592964,-5.7066463
-0.1626,-0.106402,-0.080402,3.779645,-5.4080338
-0.16235,-0.1668108,-0.080402,3.7788944,-5.1653266
-0.1621,-0.1460671,-0.121139,3.8592964,-4.9241206
-0.16185,-0.106402,-0.0993233,3.7788944,-4.7633165
-0.1616,-0.106402,-0.0822245,3.8592964,-4.5988675
-0.16135,-0.106402,-0.080402,3.7788944,-4.2583382
-0.1611,-0.106402,-0.1174939,3.8222045,-3.9963884
-0.16085,-0.1227502,-0.080402,3.8592964,-3.7984924
-0.1606,-0.186804,-0.080402,3.7788944,-3.6288972
-0.16035,-0.106402,0,3.8592964,-3.2356784
-0.1601,-0.106402,-0.080402,3.7788944,-2.9944723
-0.15985,-0.1201771,0,3.8592964,-2.8474434
-0.1596,-0.106402,-0.080402,3.7788944,-2.5854935
-0.15935,-0.106402,0,3.7788944,-2.2708542
-0.1591,-0.106402,0,3.8592964,-2.1100502
-0.15885,-0.106402,-0.0692001,3.7788944,-1.9380443
