second,CH1,CH2,CH3,CH4
-0.25,-0.267206,-0.080402,3.7788944,3.5180904
-0.24975,-0.2464622,0,3.8592964,3.6788944
-0.2495,-0.267206,0,3.7788944,4.0005025
-0.24925,-0.267206,-0.1426334,3.7788944,4.2235378
-0.249,-0.1893771,-0.080402,3.8592964,4.4025125
-0.24875,-0.2438891,-0.080402,3.8022113,4.5866334
-0.2485,-0.2308647,-0.080402,3.8592964,4.9289852
-0.24825,-0.186804,-0.080402,3.7788944,5.1909351
-0.248,-0.186804,-0.080402,3.8592964,5.3621904
-0.24775,-0.241316,-0.080402,3.8047844,5.5281406
-0.2475,-0.267206,-0.080402,3.8255282,5.8963825
-0.24725,-0.186804,-0.1477796,3.8592964,6.1583323
-0.247,-0.1945234,-0.1530847,3.7788944,6.2594781
-0.24675,-0.2152671,-0.1323409,3.8073576,6.4645016
-0.2465,-0.2360109,-0.160804,3.7296875,6.7833777
-0.24625,-0.186804,-0.160804,3.7788944,7.0453275
-0.246,-0.1970965,-0.0906945,3.8592964,7.2165828
-0.24575,-0.186804,-0.160804,3.7788944,7.3773869
-0.2455,-0.186804,-0.160804,3.8592964,7.7507749
-0.24525,-0.186804,-0.160804,3.7788944,-8.0519207
-0.245,-0.186804,-0.160804,3.79176,-7.8185929
-0.24475,-0.186804,-0.2075967,3.8592964,-7.6577889
-0.2445,-0.186804,-0.1868529,3.7788944,-7.2557788
-0.24425,-0.2619009,-0.2359009,3.8592964,-7.0949748
-0.244,-0.1713653,-0.160804,3.6984924,-6.8537688
-0.24375,-0.186804,-0.241206,3.8150769,-6.6929648
-0.2435,-0.0494758,-0.1373283,3.8358207,-6.428283
-0.24325,-0.026,-0.160804,3.7761625,-6.1301507
-0.243,-0.0883902,-0.1427922,3.8412846,-5.7281406
-0.24275,-0.0647556,-0.160804,3.9009429,-5.5673366
-0.2425,-0.106402,-0.1399014,3.8383938,-5.4065326
-0.24225,-0.1866452,-0.160804,3.8592964,-5.2457286
-0.242,-0.1269869,-0.080402,3.7788944,-4.8437185
-0.24175,-0.1454753,-0.080402,3.8179677,-4.6415858
-0.2415,-0.106402,-0.0987315,3.797224,-4.4417085
-0.24125,-0.106402,-0.080402,3.7788944,-4.2005025
-0.241,-0.106402,-0.080402,3.8020525,-3.8788944
