t,id,iq,omega,gamma
-250.0000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,+5.1261306E+00
-249.7500E-03,-186.8040E-03,-321.6080E-03,-4.2016483E+00,+4.9860704E+00
-249.5000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,+4.8045226E+00
-249.2500E-03,-168.6334E-03,-383.8394E-03,-4.1809045E+00,+4.4025125E+00
-249.0000E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,+4.2417085E+00
-248.7500E-03,-106.4020E-03,-298.2911E-03,-4.1575876E+00,+4.0238194E+00
-248.5000E-03,-62.3413E-03,-285.2667E-03,-4.1809045E+00,+3.8396984E+00
-248.2500E-03,-267.2060E-03,-241.2060E-03,-4.1005025E+00,+3.4532860E+00
-248.0000E-03,-272.3523E-03,-246.3523E-03,-4.1005025E+00,+3.2768844E+00
-247.7500E-03,-241.3160E-03,-347.4980E-03,-4.1809045E+00,+3.0615684E+00
-247.5000E-03,-220.5722E-03,-355.3763E-03,-4.1005025E+00,+2.9552763E+00
-247.2500E-03,-186.8040E-03,-456.3632E-03,-4.1809045E+00,+2.5532663E+00
-247.0000E-03,-186.8040E-03,-394.2907E-03,-4.1886238E+00,+2.3924623E+00
-246.7500E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,+1.9904522E+00
-246.5000E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,+1.7984531E+00
-246.2500E-03,-95.9507E-03,-321.6080E-03,-4.2508552E+00,+1.6583929E+00
-246.0000E-03,-36.2925E-03,-321.6080E-03,-4.1107949E+00,+1.4276382E+00
-245.7500E-03,-26.0000E-03,-370.9738E-03,-4.2119407E+00,+1.0566644E+00
-245.5000E-03,-186.8040E-03,-80.4020E-03,-4.1522825E+00,+864.8241E-03
-245.2500E-03,-194.6822E-03,-241.2060E-03,-4.1730263E+00,+704.0201E-03
-245.0000E-03,-267.2060E-03,-308.7425E-03,-4.1809045E+00,+462.8141E-03
-244.7500E-03,-220.4134E-03,-368.4007E-03,-4.1809045E+00,+141.2060E-03
