I_f,u_sL,U_N,U_sL,I_f_corr,i_f,u_sL_corr,x_dh
1,0.312,400,124.8,1,0.25,0.3135,1.254
2,0.5575,400,223,2,0.5,0.56125,1.1225
3,0.7675,400,307,3,0.75,0.77625,1.035
4,0.93,400,372,4,1,0.9375,0.9375
5,1.0525,400,421,5,1.25,1.0575,0.846
6,1.1325,400,453,6,1.5,1.13625,0.7575
7.1,1.2,400,480,7.1,1.775,1.20125,0.676760563380282
8,1.24,400,496,8,2,1.24,0.62
7.1,1.2025,400,481,,,,
6,1.14,400,456,,,,
5,1.0625,400,425,,,,
4,0.945,400,378,,,,
3,0.785,400,314,,,,
2,0.565,400,226,,,,
1,0.315,400,126,,,,
0,0.01375,400,5.5,,,,
