i_f,u_s,x_dh
0.1909,0.2424,1.269774751
0.2077,0.2626,1.264323544
0.2245,0.2828,1.259688196
0.2413,0.303,1.255698301
0.2598,0.3232,1.244033872
0.2802,0.3434,1.225553176
0.3006,0.3636,1.209580838
0.321,0.3838,1.195638629
0.3414,0.404,1.183362624
0.3617,0.4242,1.172795134
0.3821,0.4444,1.163046323
0.4025,0.4646,1.154285714
0.4229,0.4848,1.1463703
0.4433,0.5051,1.139408978
0.4637,0.5253,1.132844512
0.4841,0.5455,1.126833299
0.5051,0.5657,1.119976242
0.5286,0.5859,1.108399546
0.5521,0.6061,1.097808368
0.5756,0.6263,1.088082001
0.5991,0.6465,1.079118678
0.6226,0.6667,1.070831995
0.6461,0.6869,1.063148119
0.6696,0.7071,1.056003584
0.693,0.7273,1.049494949
0.7165,0.7475,1.043265876
0.74,0.7677,1.037432432
0.768,0.7879,1.025911458
0.7994,0.8081,1.010883162
0.8307,0.8283,0.99711087
0.862,0.8485,0.984338747
0.8933,0.8687,0.972461659
0.9246,0.8889,0.961388709
0.956,0.9091,0.950941423
0.9873,0.9293,0.941253925
1.025,0.9495,0.926341463
1.0671,0.9697,0.908724581
1.1092,0.9899,0.892445005
1.1513,1.0101,0.877356032
1.1933,1.0303,0.863404006
1.2354,1.0505,0.850331876
1.2919,1.0707,0.828779317
1.3561,1.0909,0.804439201
1.4202,1.1111,0.782354598
1.4843,1.1313,0.762177457
1.5646,1.1515,0.735970855
1.6501,1.1717,0.710078177
1.7355,1.1919,0.686776145
1.8381,1.2121,0.659430934
1.9554,1.2323,0.630203539
